IPA	FID	Combined class:	Segment class:	advanced tongue root	anterior	approximant	back	click	consonantal	constricted glottis	continuant	coronal	delayed release	distributed	dorsal	epilaryngeal source	fortis	front	high	labial	labiodental	lateral	long	low	lowered larynx implosive	nasal	periodic glottal source	raised larynx ejective	retracted tongue root	round	short	sonorant	spread glottis	stress	strident	syllabic	tap	tense	tone	trill
ʐ͇	872DA50DAF7A7CF11DCBAE09F12F3AEF	c-d	consonant		-	-		-	+	-	+	+	+	-	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
tsˠ	8769C7ED49F38266B7431F2D713DDEB4	c-c-d	consonant		+	-	+	-	+	-	-	+	+	-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
x͈ʷ	880758BD5ED63807802C1F6642E8BA81	c-d-d	consonant			-	-	-	+	-	+	-	+		+	-	+	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
ɵː	88077D69EC74F838E3E0CB894B5E7E70	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɑ̤	8813C676C17AB33A17315744F0A31D29	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	-	+	-	-	+	-	-		-	+	+	-		+	-			-
nsʷ	881849A82EE55017C675286819E534B2	c-c-d	consonant		+	-		-	+	-	-,+	+	+	-	-	-	-			+		-	-		-	+,-	+,-	-		+	-	+,-	-	-	-,+	-	-			-
kǃʼ	882C43B0884E68786E983C79F4D52C65	c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ə̃ː	883726078EEB02D11417FE176DA55233	v-c-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	+	-	-	+	+	-	-		-	+	-	-		+	-	-		-
ɹ̩	8857C8BB0B65E8EF236DF76520884B67	c-d	consonant		-	+		-	-	-	+	+		+	-	-	-			-		-	-		-	-	+	-			-	+	-	-	-	+	-			-
r̤	8868DA743DAC324B4ECA38B33CAE6D69	c-d	consonant		+	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	-			+
ŋ̥	887F49F7E15117E2639E1D17FC0B8EB2	c-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	-	-			-	+	+	-		-	-			-
qǀʼ	8893BBBF1937DCFD10B05DDC31E6987F	c-c-c	consonant		+	-	+	+	+	+	-	+	-	+	+	-	-	-	-	-		-	-	-	-	-	-	+			-	-	-	-	-	-	-			-
ɑː	88AC5CE19511786367C819D16739C6E1	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
z̪	88C287E17AC15E89E601F9D81D0374B5	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
ɬ̪ʷ	88E14B83A0518AC12BDBDA6ABDD6514A	c-d-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			+		+	-		-	-	-	-		+	-	-	-	-	-	-	-			-
ɗʰ	88E25DD573B2BC48761DD1E9AD34A073	c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		+	-	+	-			-	-	+	-	-	-	-			-
pʷ	89135AE8B291E91395AD52BAA7592587	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-		+	-	-	-	-		-	-			-
ɸʲ	89637C588EF892E456C094944FA4125F	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	+	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
a̠ː	89AFE454C977356224318AB2F6EFB95E	v-d-d	vowel	-	-	+	-		-	-	+	-		+	+	-		-	-	-		-	+	+	-	-	+	-	-		-	+	-	-		+	-			-
ŋ̥ǂˀ	89C1AC72A3A0A8733C13FB41632008F5	c-d-c-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
sː	89F9825488A15324615819E7A614926B	c-d	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		-	+		-	-	-	-			-	-	-	-	+	-	-			-
ʊɔ	8A08A9F5E95B54A3DEF1440BC5192FE7	v-v	vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
tˤ	8A2147CEAD6091015AA0965F0B6C2AEB	c-c	consonant	-	+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	-	-	-	+		-	-	-	-	-	-	-			-
ðʲ	8A250ED17471F3B343DDA58AB02B1ADF	c-d	consonant		+	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	-	-	-			-
ɛ	8A61A9B6039DB852CE150BEC6198AFE5	v	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ɮ	8AB7F55EAB4F34299B9887A4F4BCF42F	c	consonant		+	-		-	+	-	+	+	+	-	-	-	-			-		+	-		-	-	+	-			-	-	-	-	-	-	-			-
ŋǂ	8ABCB5099830FA5A580082211BD5223D	c-c	consonant		-	-	-	+	+	-	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	-	-	-	-	-			-
cç	8AD5C612764E127E084477DD1C52B817	c-c	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-	-	-	-			-
k͉ʷ	8B1523ED9D3C3C387F4896711E15062C	c-d-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+		-	-	-	-	-	-	-		+	-	-	-	-		-	-			-
d̪l̪	8B31557E1131F476E4E7176366D136FE	c-d-c-d	consonant		+	-,+		-	+	-	-,+	+	-	+	-	-	-			-		-,+	-		-	-	+	-			-	-,+	-	-	-	-	-			-
mv	8B5853E17EE18C8489740C5D45BF80F1	c-c	consonant			-		-	+	-	-,+	-	+		-	-	-			+	-,+	-	-		-	+,-	+	-		-	-	+,-	-	-		-	-			-
ʁʷˤ	8B83BA35CE79666F432ED6FE6AC5D33F	c-d-c	consonant	-		-	+	-	+	-	+	-	+		+	-	-	-	-	+		-	-	-	-	-	+	-	+	+	-	-	-	-		-	-			-
ʊ̯	8B985EA8BCD0A5A43BBD74198A8DC9AD	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-	-	-		-
u̞	8BA8FD195C0933307B7EBBF4F1B22A9B	v-d	vowel	-		+	+		-	-	+	-			+	-		-	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɑ̃˞	8BAA98167F76FCB6037754F4FCAC7B99	v-c-d	vowel	-	+	+	+		-	-	+	+		+	+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-	+	+	-			-
t̪ɬ̪ʰ	8BC843891B213797138570CE934A19DB	c-d-c-d-c	consonant		+	-		-	+	-	-	+	+	+	-	-	-			-		+	-		-	-	-	-			-	-	+	-	-	-	-			-
ŋʰ	8BCC1E315A842A1DF3745488F066C7C7	c-c	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	+	-		-	-			-
t̠ʃʱ	8BD8D6616317060722FF0127E20D8FBD	c-d-c-d	consonant		-	-		-	+	-	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	+	-	+	-	-			-
dr	8C1A823C6A8A45A785B1FFEBF762E476	c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-	-		-	-	+	-			-	-,+	-	-	-	-	-			-,+
ɲc	8C70D620A1A2D179E7D9923C5FED605D	c-c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	+,-	+,-	-			-	+,-	-	-	-	-	-			-
ʼŋǃ	8C74FE1865AB3D34D9E8DE80CC63C0C2	c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	+	+			-	-	-	-	-	-	-			-
ŋǃǃʰ	8C9DC768856B806C6BBBF55F236D7FA7	c-c-c-c	consonant		+	-	-	+	+	-	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	+	-			-	-	+	-	-	-	-			-
çː	8C9EA4D20A1592AE89CEBFD0406B1A49	c-d	consonant		-	-	-	-	+	-	-	+	+	+	+	-	-	+	+	-		-	+	-	-	-	-	-			-	-	-	-	-	-	-			-
pʰː	8CAE1C047707BEC3BE2EA5F7963823A4	c-c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	-	-		-	-	-	+	-		-	-			-
ntʰ	8CE75C9AC61BF1668603876DCD7F123E	c-c-c	consonant		+	-		-	+	-	-	+	-	-	-	-	-			-		-	-		-	+,-	+,-	-			-	+,-	+	-	-	-	-			-
xʷʼ	8CF8B93B9471B1B48107781FBE4D38D9	c-d-c	consonant			-	-	-	+	+	+	-	+		+	-	-	-	+	+		-	-	-	-	-	-	+		+	-	-	-	-		-	-			-
ŋ̥ǂxˀ	8D0A6C9F5433A300B1A74084CEDDA55B	c-d-c-c-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
ŋ̥ǃˠˀ	8D354BB5D839197245AFC26084755532	c-d-c-d-c	consonant		+	-	+	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
tz̤̥	8D36E0FAAEB88A33D4B8B117715DE75C	c-c-d-d	consonant		+	-		-	+	-	-,+	+	-,+	-	-	-	-			-		-	-		-	-	-	-			-	-	+	-	-,+	-	-			-
e̯	8D3D91A55D080A1E9E2C63E19405ECB2	v-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		-	-	+		-
ɾ̥ˠ	8D455B3B1D6F59207DE614A979E95739	c-d-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	-	+	-		-	-	-	-	-	-	-			-	+	+	-	-	-	+			-
e̠	8D85DC6E633A411854BA134B751F90E9	v-d	vowel	-	-	+	-		-	-	+	-		+	+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
ũĩ	8D8653E7C79EB98F2D839D8CAD3CE5CD	v-c-v-c	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+	+,-	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ŋː	8D8F577E360F581BBCC510A0AD4AD2D4	c-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	+	-	-	+	+	-			-	+	-	-		-	-			-
uɔ	8DAF1BD9A592E0FBAFDB95AF33FEFA0E	v-v	vowel	-		+	+		-	-	+	-			+	-		-	+,-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
ʃˠ	8DB6642D88B4C703051ECD0B07577292	c-d	consonant		-	-	+	-	+	-	+	+	+	+	+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-	+	-	-			-
mb	8DEC1745406483DE6A8030A28A69B646	c-c	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	+,-	+	-		-	-	+,-	-	-		-	-			-
qː	8E0A811394AB18A49D7448F524FB77E0	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	-	-	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
ã	8E32B519FFFA1D3336C36200F8060969	v-c	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
æ̃	8E39902B15270149C6FAB7A2A6307EE3	v-c	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	-	+	-	+	+	-	-		-	+	-	-		+	-			-
a̟˞	8E3F5DF97F8F6DBEBB7172BE3E7B2917	v-d-d	vowel	-	+	+	-		-	-	+	+		+	+	-		+	-	-		-	-	+	-	-	+	-	-		-	+	-	-	+	+	-			-
z̪ʲ	8E44A85109C21D52844028D1BF295567	c-d-d	consonant		+	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		-	-	-	-	-	+	-			-	-	-	-	+	-	-			-
j̃	8E5C34586795133BB63747F3E0FE57B9	c-c	consonant			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-	+		-
ŋmɡb	8EB42EA410A32B30095194B613991F57	c-c-c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	+,-	+	-		-	-	+,-	-	-		-	-			-
ɒ̃ː	8F03F77816212E0B6D9F30B0063063E6	v-c-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	+	+	-	+	+	-	-	+	-	+	-	-		+	-			-
˧˩̤	8F253FB1FFBFB0F7EB811CD7DB5F785F	t-t-d	tone							-																							+						+	
ɡǂkxʼ	8F6FA92151F56A0FEC9C229F4EE3C729	c-c-c-c-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
ˀy	8F8E09791B7EE161F9F7B5942B28E401	c-v	consonant	-		+	-		-	+	+	-			+	-		+	+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɡǃǃxʼ	8FA1B63A9EE55A2E3D08AAAC60C56807	c-c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
z̪ˤ	8FAB18A495FB6E1C2E1C60D4EEADE647	c-d-c	consonant	-	+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-	+		-	-	-	-	+	-	-			-
qn	8FD6F64DAA1EDB0AECFBE8955F8BD3E6	c-c	consonant		+	-	+	-	+	-	-	-,+	-	-	+,-	-	-	-	-	-		-	-	-	-	-,+	-,+	-			-	-,+	-	-	-	-	-			-
ʟ	902920A127B42AF0CEC214D96BEF27C4	c	consonant			+	-	-	+	-	+	-			+	-	-	-	+	-		+	-	-	-	-	+	-			-	+	-	-		-	-			-
ɖr̠	90343EAC6A2341C2DB27F5CDBDA38BBE	c-c-d	consonant		-	-,+		-	+	-	-,+	+	-	+	-	-	-			-		-	-		-	-	+	-			-	-,+	-	-	-	-	-			-,+
a̤ɯ̤	90AC558609BF41AEA68C3982036D2227	v-d-v-d	vowel	-		+	-,+		-	-	+	-			+	-		-	-,+	-		-	-	+,-	-	-	+	-	-		-	+	+	-		+	-	+		-
r̠̙	90B603E4318622E87205348FB3569BCD	c-d-d	consonant	-	-	+		-	+	-	+	+		+	-	-	-			-		-	-		-	-	+	-	+		-	+	-	-	-	-	-			+
mʷː	910CB0B09E2AEAD2EB0B1981DF2BCCD8	c-d-d	consonant			-		-	+	-	-	-			-	-	-			+	-	-	+		-	+	+	-		+	-	+	-	-		-	-			-
jeu̯	9150652D351FE501E042430E8EE19521	c-v-v-d	consonant	-		+	-,+	-	-	-	+	-			+	-	-	+,-	+,-,+	-,+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		-	-	+		-
cʷʰ	9161A90EA0B52FE28F5DCDD615DE9D3C	c-d-c	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	+		-	-	-	-	-	-	-		+	-	-	+	-	-	-	-			-
˥̰	91E25A72DACF30BA06438AFE223E48EB	t-d	tone							+																							-						+	
qχ	91F5F4C7A31EE9B8A67881CCEBA056A9	c-c	consonant			-	+	-	+	-	-	-	+		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ĩə	9202C221EA9049FA9496168F901C9318	v-c-v	vowel	-		+	-		-	-	+	-			+	-		+,-	+,-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+,-		-
õũ	9235D9F8B825DE716D0728B1C18B6EF3	v-c-v-c	vowel	-		+	+		-	-	+	-			+	-		-	-,+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
tl	923E169D84C70D89278B0FA651125EE1	c-c	consonant		+	-,+		-	+	-	-,+	+	-	-	-	-	-			-		-,+	-		-	-	-,+	-			-	-,+	-	-	-	-	-			-
ʈʼ	926EDDFF54A6A7130B68AA54CABDF584	c-c	consonant		-	-		-	+	+	-	+	-	-	-	-	-			-		-	-		-	-	-	+			-	-	-	-	-	-	-			-
uɪ	92990028280D6229C0F064501A32BEAB	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
ᶑʼ	92B023E496FB9F4435C60537F47C883F	c-c	consonant		-	-		-	+	+	-	+	-	-	-	-	-			-		-	-		+	-	+	+			-	-	-	-	-	-	-			-
z̻	92B41E9C14B6FD2564CABDE05D20ED97	c-d	consonant		+	-		-	+	-	+	+	+	+	-	-	-			-		-	-		-	-	+	-			-	-	-	-	+	-	-			-
c̤	92D1222D38A633F84E30D122F33BDAE8	c-d	consonant		-	-	-	-	+	-	-	+	-	+	+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	+	-	-	-	-			-
t͈ː	92D62ABE167459EECB6603B87F5B149A	c-d-d	consonant		+	-		-	+	-	-	+	-	-	-	-	+			-		-	+		-	-	-	-			-	-	-	-	-	-	-			-
l̪	92E1B0E16834519598F3C03EE7E974D9	c-d	consonant		+	+		-	+	-	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
ɲ̤	92F2B0835609D9237A79F9074E061BEB	c-d	consonant		-	-	-	-	+	-	-	+		+	+	-	-	+	+	-		-	-	-	-	+	+	-			-	+	+	-	-	-	-			-
œy	9300F7C9F65BC87BF5A751D649FF5951	v-v	vowel	-		+	-		-	-	+	-			+	-		+	-,+	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-,+		-
pˤ	9351067F8D7BD7BD730B05187DFD1093	c-c	consonant	-		-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	-	-	+	-	-	-	-	-		-	-			-
ʉ̃	93669653A14351D91C5DE5662A03FAFE	v-c	vowel	-		+	-		-	-	+	-			+	-		-	+	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
ŋɡʲ	9380EE7CAFA7E9C0649492960A59AF34	c-c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
ŋ̥ǃ̠ˀ	9383CE4875A17B364847BF0BD2015B36	c-d-c-d-c	consonant		-	-	-	+	+	+	-	+	-	+	+	-	-	-	+	-		-	-	-	-	+	-	-			-	-	-	-	-	-	-			-
ɽ̤	938B6C3219ABF344C8C6E4D881773DD7	c-d	consonant		-	+		-	+	-	+	+		-	-	-	-			-		-	-		-	-	+	-			-	+	+	-	-	-	+			-
ɔ̝	9394132C0F0401B834D2BBAB0580199A	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
i̤	939A7975CF9076575231885607327720	v-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	-	-	-	-	+	-	-		-	+	+	-		+	-	+		-
e̞̰	93F9ADEC1D56A271FE940E2F9634F676	v-d-d	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	-	-	-	-	+	-	-		-	+	-	-		+	-	+		-
pfʼ	93FF8C16A76C25D10A203E160AD9CF0C	c-c-c	consonant			-		-	+	+	-	-	+		-	-	-			+	+	-	-		-	-	-	+		-	-	-	-	-		-	-			-
kʼː	94051C4D65D0EEC3F7E4687363F16AE6	c-c-d	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	+	-	-	-	-	+			-	-	-	-		-	-			-
ʀ	941A64F284E12ACB5A54580F5D22337A	c	consonant			+	+	-	+	-	+	-			+	-	-	-	-	-		-	-	-	-	-	+	-			-	+	-	-		-	-			+
ŋ	941ED37AAF5E9C4E1B40D85008C6B2D9	c	consonant			-	-	-	+	-	-	-			+	-	-	-	+	-		-	-	-	-	+	+	-			-	+	-	-		-	-			-
ɛ̤ˑ	948AFE4543325DAD1E104C89BA3809A8	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	-	-		-	+	-	-	-	+	-	-		+	+	+	-		+	-	-		-
ɔˤ	9493AD0CFEDEA370A0908A0BE3D7A91F	v-c	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	+	+	-	+	-	-		+	-	-		-
fʲ	94AD2B51FB011E032DC3E695DB412F3D	c-d	consonant			-	+	-	+	-	+	-	+		+	-	-	+	+	+	+	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
ã̆	94BF94DB6A49325AE4AE6A592335B724	v-c-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	+	-	+	+	-	-		+	+	-	-		+	-			-
ɡv	94EE78E681718BD5174AC4A3A2B2AD5A	c-c	consonant			-	-	-	+	-	-,+	-	-,+		+,-	-	-	-	+	-,+	+	-	-	-	-	-	+	-		-	-	-	-	-		-	-			-
ɑu	950E9BDE9091AFA8E6D1A4D90B95F975	v-v	vowel	-		+	+		-	-	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
bˤ	9520632C5C6A9154D2A5142D6BA024CE	c-c	consonant	-		-		-	+	-	-	-	-		-	-	-			+	-	-	-		-	-	+	-	+	-	-	-	-	-		-	-			-
ʕʼ	95319955D5FDB3BF889BDE9FC386FA50	c-c	consonant			-	+	-	+	+	+	-	+		+	-	-	-	-	-		-	-	+	-	-	+	+			-	-	-	-		-	-			-
ʰw	9595D7B29E424C2BBA45D2899514DDA0	c-c	consonant			+	+	-	-	-	+	-			+	-	-	-	+	+	-	-	-	-	-	-	+	-		+	-	+	+	-		-	-	+		-
N	95996CAB019505C034CED3D0966D8E36	c	consonant																																					
ŋɡ	95A609A900A52E93F9252FD72E8D136F	c-c	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	-		-	-	-	-	+,-	+	-			-	+,-	-	-		-	-			-
ẽ̞̰	9619D56A9B79DC613BCBD1CF8DC879B6	v-d-d-c	vowel	-		+	-		-	+	+	-			+	-		+	-	-		-	-	-	-	+	+	-	-		-	+	-	-		+	-	+		-
t̠͈ʃ	961E5EE7C7D29AA4B75F53321D686803	c-d-d-c	consonant		-	-		-	+	-	-	+	+	+	-	-	+			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
q̰	9622708EC8A09E69656F13E81B676BB3	c-d	consonant			-	+	-	+	+	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
a̰ṵ	96312A3E039B86D6341977E4971688E5	v-d-v-d	vowel	-		+	-,+		-	+	+	-			+	-		-	-,+	-,+	-	-	-	+,-	-	-	+	-	-	+	-	+	-	-		+	-	+		-
ɮ̪ʲ	96324A60BBDE50755FFC4CFBEE7FEC09	c-d-d	consonant		+	-	+	-	+	-	+	+	+	+	+	-	-	+	+	-		+	-	-	-	-	+	-			-	-	-	-	-	-	-			-
üː	963710B79413FD4387C6CF329B4EA189	v-d-d	vowel	-		+	-		-	-	+	-			+	-		-	-	+	-	-	+	-	-	-	+	-	-	+	-	+	-	-		+	-	-		-
t̠ʃ̰	96511430E63897623055E3B20B14D1DD	c-d-c-d	consonant		-	-		-	+	+	-	+	+	+	-	-	-			-		-	-		-	-	-	-			-	-	-	-	+	-	-			-
ɓ̥	965C43D00AE09CA4C7B5F1175F2F3A87	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	-		+	-	-	-		-	-	-	+	-		-	-			-
ŋ̩ʷ	96678409319BF4A36DF82504BC280074	c-d-d	consonant			-	-	-	+	-	-	-			+	-	-	-	+	+		-	-	-	-	+	+	-		+	-	+	-	-		+	-			-
ɡǃkxʼ	966ABDD5AA8A986C0EDAE894A7632B62	c-c-c-c-c	consonant		+	-	-	+	+	+	-	+	-	-	+	-	-	-	+	-		-	-	-	-	-	+	+			-	-	-	-	-	-	-			-
a̤i̤	967B770D5C370C407E933C77853F8D7E	v-d-v-d	vowel	-		+	-		-	-	+	-			+	-		-,+	-,+	-		-	-	+,-	-	-	+	-	-		-	+	+	-		+	-	+		-
ɡb̩	96B3471F9B3207614011CFC2D9C68949	c-c-d	consonant			-	-	-	+	-	-	-	-		+	-	-	-	+	+	-	-	-	-	-	-	+	-		-	-	-	-	-		+	-			-
kʲ	96CDC886AA21A9599A0AC4EFFCDCA13F	c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
hː	96F8300A3A6F5A403C59356C3B456BE4	c-d	consonant			-		-	-	-	+	-	+		-	-	-			-		-	+		-	-	-	-			-	-	+	-		-	-			-
ɾ̥ʲ	96FB3EF606180253B5B25E318936B1C3	c-d-d	consonant		+	+	+	-	+	-	+	+		-	+	-	-	+	+	-		-	-	-	-	-	-	-			-	+	+	-	-	-	+			-
õ̞̰	97120FA3E0367F69B2CF6A6C71D5A5CF	v-d-d-c	vowel	-		+	+		-	+	+	-			+	-		-	-	+	-	-	-	-	-	+	+	-	-	+	-	+	-	-		+	-	+		-
uɛ	973D8B897B5DFA5DD2F8ECC0AFBC24DC	v-v	vowel	-		+	+,-		-	-	+	-			+	-		-,+	+,-	+,-	-	-	-	-	-	-	+	-	-	+	-	+	-	-		+	-	+,-		-
l̻̰	973F4B2088CF1BE563AF25E8500F1DE1	c-d-d	consonant		+	+		-	+	+	+	+		+	-	-	-			-		+	-		-	-	+	-			-	+	-	-	-	-	-			-
ˀj̥	97A327988EC520135F4D40191162D379	c-c-d	consonant			+	-	-	-	-	+	-			+	-	-	+	+	-		-	-	-	-	-	-	-			-	+	+	-		-	-	+		-
kǂ͓ˡx	97D3213C02E25E3E464F36880345471F	c-c-d-d-c	consonant		-	-	-	+	+	-	-	+	+	+	+	-	-	-	+	-		-,+	-	-	-	-	-	-			-	-	-	-	-	-	-			-
bv	97D36D16793A9A8C6C86298776C37038	c-c	consonant			-		-	+	-	-	-	+		-	-	-			+	+	-	-		-	-	+	-		-	-	-	-	-		-	-			-
bː	97DED3C2CA0EB378AC531C0752A6906F	c-d	consonant			-		-	+	-	-	-	-		-	-	-			+	-	-	+		-	-	+	-		-	-	-	-	-		-	-			-
kpʲ	97F24BE5C8973224999DC31856749B23	c-c-d	consonant			-	+	-	+	-	-	-	-		+	-	-	+	+	+	-	-	-	-	-	-	-	-		-	-	-	-	-		-	-			-
ɪ̝ː	981DF691043803817A0DD881230231EB	v-d-d	vowel	-		+	-		-	-	+	-			+	-		+	+	-		-	+	-	-	-	+	-	-		-	+	-	-		+	-	-		-
ə̆	983ADF6F0E3D956C103BE19FB490FF5C	v-d	vowel	-		+	-		-	-	+	-			+	-		-	-	-		-	-	-	-	-	+	-	-		+	+	-	-		+	-	-		-
qˤʼ	986E8219F04B6F3FB15D2082583E7828	c-c-c	consonant	-		-	+	-	+	+	-	-	-		+	-	-	-	-	-		-	-	-	-	-	-	+	+		-	-	-	-		-	-			-
qχː	987387A0E2149102F98C41296BCB7B6A	c-c-d	consonant			-	+	-	+	-	-	-	+		+	-	-	-	-	-		-	+	-	-	-	-	-			-	-	-	-		-	-			-
kˀ	9897B73F24B6B30A709AF93CE2A80BF8	c-c	consonant			-	-	-	+	+	-	-	-		+	-	-	-	+	-		-	-	-	-	-	-	-			-	-	-	-		-	-			-
ɔ̆	98B940CEC10090D3396CF9AB036760AA	v-d	vowel	-		+	+		-	-	+	-			+	-		-	-	+	-	-	-	-	-	-	+	-	-	+	+	+	-	-		+	-	-		-
